timestamp,test-class,test-method,time,description,result
"2022-05-20 01:49:43.107","acme.testing.authenticated.inventor.AuthenticatedInventorCreateTest","positiveTest",10946,""[1] username=user1, password=user1, company=company example, statement=statement example, link=http://link.acme/"","OK"
"2022-05-20 01:49:51.488","acme.testing.authenticated.inventor.AuthenticatedInventorCreateTest","positiveTest",8028,""[2] username=patron1, password=patron1, company=company example, statement=statement example, link=http://link.acme/"","OK"
"2022-05-20 01:49:59.666","acme.testing.authenticated.inventor.AuthenticatedInventorCreateTest","positiveTest",7834,""[3] username=user2, password=user2, company=company example, statement=statement example, link=null"","OK"
"2022-05-20 01:50:07.905","acme.testing.authenticated.inventor.AuthenticatedInventorCreateTest","positiveTest",7882,""[4] username=user3, password=user3, company=c, statement=statement example, link=http://link.acme/"","OK"
"2022-05-20 01:50:16.156","acme.testing.authenticated.inventor.AuthenticatedInventorCreateTest","positiveTest",7900,""[5] username=user4, password=user4, company=company example, statement=s, link=http://link.acme/"","OK"
"2022-05-20 01:50:24.397","acme.testing.authenticated.inventor.AuthenticatedInventorCreateTest","positiveTest",7882,""[6] username=user5, password=user5, company=100ca ipsum dolor sit amet consectetur adipiscing elit viverra. nec donec primis sociosqu mauris ar., statement=statement example, link=http://link.acme/"","OK"
"2022-05-20 01:50:32.718","acme.testing.authenticated.inventor.AuthenticatedInventorCreateTest","positiveTest",7963,""[7] username=user6, password=user6, company=company example, statement=255ca ipsum dolor sit amet consectetur adipiscing. elit risus sapien rhoncus tortor lacinia suscipit. et per id arcu lacus. Himenaeos duis tellus lacinia cubilia parturient suspendisse netus vulputate mi. facilisi mus nulla dis nibh et cursus ut. egestas., link=http://link.acme/"","OK"
"2022-05-20 01:50:40.111","acme.testing.authenticated.inventor.AuthenticatedInventorCreateTest","negativeTest",7002,""[1] username=user7, password=user7, company=company example, statement=statement example, link=link.acme"","OK"
"2022-05-20 01:50:47.438","acme.testing.authenticated.inventor.AuthenticatedInventorCreateTest","negativeTest",6960,""[2] username=user7, password=user7, company=null, statement=statement example, link=http://link.acme/"","OK"
"2022-05-20 01:50:54.683","acme.testing.authenticated.inventor.AuthenticatedInventorCreateTest","negativeTest",6904,""[3] username=user7, password=user7, company=company example, statement=null, link=http://link.acme/"","OK"
"2022-05-20 01:51:02.196","acme.testing.authenticated.inventor.AuthenticatedInventorCreateTest","negativeTest",7037,""[4] username=user7, password=user7, company=101ca ipsum dolor sit amet consectetur adipiscing elit viverra. nec donec primis sociosqu mauris ar.., statement=statement example, link=http://link.acme/"","OK"
"2022-05-20 01:51:09.608","acme.testing.authenticated.inventor.AuthenticatedInventorCreateTest","negativeTest",7048,""[5] username=user7, password=user7, company=company example, statement=256ca ipsum dolor sit amet consectetur adipiscing. elit risus sapien rhoncus tortor lacinia suscipit. et per id arcu lacus. Himenaeos duis tellus lacinia cubilia parturient suspendisse netus vulputate mi. facilisi mus nulla dis nibh et cursus ut. egestas.., link=http://link.acme/"","OK"
"2022-05-20 01:51:18.333","acme.testing.authenticated.inventor.AuthenticatedInventorCreateTest","hackingTest",8366,""hackingTest()"","OK"
